artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Alec Benjamin,Let Me Down Slowly,169353,False,2018,82,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073,"rock, pop, Dance/Electronic"
girl in red,we fell in love in october,184153,False,2018,82,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959,"pop, rock, Dance/Electronic"
Shakira,Hips Don't Lie (feat. Wyclef Jean),218093,False,2005,82,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,"pop, latin"
Dr. Dre,The Next Episode,161506,True,1999,82,0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295,hip hop
Outkast,Ms. Jackson,270506,True,2000,82,0.843,0.806,4,-5.946,0,0.269,0.143,0.0,0.0771,0.613,94.948,"hip hop, pop"
XXXTENTACION,Moonlight,135090,True,2018,82,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,hip hop
Lady Gaga,Shallow,215733,False,2018,82,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,pop
Coldplay,Hymn for the Weekend,258266,False,2015,82,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,"rock, pop"
Coldplay,Paradise,278719,False,2011,82,0.449,0.585,5,-6.761,1,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,"rock, pop"
Foster The People,Pumped Up Kicks,239600,False,2011,82,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,"rock, pop"
Gorillaz,Feel Good Inc.,222640,False,2005,82,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,hip hop
JAY-Z,Ni**as In Paris,219333,True,2011,82,0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.349,0.775,140.022,hip hop
French Montana,Unforgettable,233901,True,2017,82,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,"hip hop, pop"
Maroon 5,Payphone,231173,True,2012,82,0.743,0.752,4,-4.813,1,0.0414,0.0188,0.0,0.287,0.545,110.015,pop
Coldplay,Paradise,278719,False,2011,82,0.449,0.585,5,-6.761,1,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,"rock, pop"
One Direction,What Makes You Beautiful,199986,False,2012,82,0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99,pop
XXXTENTACION,SAD!,166605,True,2018,82,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,hip hop
Shawn Mendes,Treat You Better,187973,False,2017,82,0.444,0.819,10,-4.078,0,0.341,0.106,0.0,0.107,0.747,82.695,pop
MKTO,Classic,175426,False,2012,82,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071,"hip hop, pop"
Mark Ronson,Uptown Funk (feat. Bruno Mars),269666,True,2015,82,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,pop
Nelly Furtado,Promiscuous,242293,False,2006,82,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,"hip hop, pop, latin"
Kanye West,Heartless,211000,False,2008,82,0.79,0.647,10,-5.983,0,0.136,0.0515,0.0,0.248,0.654,87.999,hip hop
Taylor Swift,Blank Space,231826,False,2014,82,0.76,0.703,5,-5.412,1,0.054,0.103,0.0,0.0913,0.57,95.997,pop
